Product Name,Price,Brand,Size,Display
Mi 125.7 cm (50 inches) 5X Series 4K LED Smart Android TV with Dolby Vision & 40W Dolby Atmos (Grey),"INR 40,999",MI,50,LED
Sony Bravia 126 cm (50 inches) 4K Ultra HD Smart LED Google TV KD-50X75L (Black),"INR 57,940",SONY,50,LED
Samsung 125 cm (50 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA50CUE60AKLXL (Black),"INR 42,990",SAMSUNG,50,LED
TCL 126 cm (50 inches) Bezel-Less Series 4K Ultra HD Smart LED Google TV 50P635 (Black),"INR 29,990",TCL,50,LED
iFFALCON 126 cm (50 inches) 4K Ultra HD Smart LED Google TV iFF50U62 (Black),"INR 25,999",IFFALCON,50,LED
Kodak 126 cm (50 inches) Bezel-Less Design Series 4K Ultra HD Smart Android LED TV 50UHDX7XPROBL (Black),"INR 25,999",KODAK,50,LED
Kodak 126 cm (50 inches) Matrix Series 4K Ultra HD Smart QLED Google TV 50MT5011 (Black),"INR 28,999",KODAK,50,QLED
Sony Bravia 126 cm (50 inches) 4K Ultra HD Smart LED Google TV KD-50X64L (Black),"INR 54,990",SONY,50,LED
Xiaomi 125 cm (50 inches) X Pro 4K Dolby Vision IQ Series Smart Google TV L50M8-5XIN (Black),"INR 41,999",XIAOMI,50,LED
Blaupunkt 126 cm (50 inches) Cyber Sound G2 Series 4k Ultra HD LED Google TV 50CSGT7022 (Black),"INR 25,999",BLAUPUNKT,50,LED
"Samsung 138 cm (55 Inches) 4K Ultra HD Smart LED TV (UA55AU7600KXXL, Black)","INR 52,548",SAMSUNG,55,LED
Blaupunkt 139 cm (55 inches) Quantam Dot Series 4K Ultra HD QLED Google TV 55QD7020 (Black),"INR 33,999",BLAUPUNKT,55,QLED
TV Dust Cover for iFFALCON 138.6 cm (55 inch) QLED Ultra HD (4K) Smart Android TV HandsFree Voice Search (55H71)- Black,INR 499,IFFALCON,55,QLED
Xiaomi 138 cm (55 inches) X Series 4K Ultra HD Smart Android LED TV L55M7-A2IN (Black),"INR 36,999",XIAOMI,55,LED
TCL 138.7 cm (55 inches) Bezel-Less Series 4K Ultra HD Smart LED Google TV 55P635 (Black),"INR 36,990",TCL,55,LED
Xiaomi 138 cm (55 inches) X 4K Dolby Vision Series Smart Google TV L55M8-A2IN (Black),"INR 37,999",XIAOMI,55,LED
Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X75L (Black),"INR 63,640",SONY,55,LED
Vu 139 cm (55 inches) The GloLED Series 4K Smart LED Google TV 55GloLED (Grey),"INR 37,999",VU,55,OLED
Samsung 138 cm (55 inches) 4K Ultra HD Smart LED TV UA55BU8570ULXL (Black),"INR 56,990",SAMSUNG,55,LED
Samsung 138 cm (55 inches) 4K Ultra HD Smart NEO QLED TV QA55QN95BAKLXL (Bright Silver),"INR 1,24,990",SAMSUNG,55,QLED
Samsung 138 cm (55 inches) The Frame Series 4K Ultra HD Smart QLED TV QA55LS03AAKLXL (Black) | With 3 Years Warranty,"INR 75,990",SAMSUNG,55,QLED
LG 139 cm (55 inches) 4K Ultra HD Smart OLED TV 55C2PSC (Black),"INR 1,24,990",LG,55,OLED
Toshiba 139 cm (55 inches) 4K Ultra HD Smart QLED Google TV 55M550LP (Black),"INR 38,999",TOSHIBA,55,QLED
Onida 139 cm (55 inches) 4K Ultra HD Smart LED Fire TV 55UIF1 (Black),"INR 34,999",ONIDA,55,LED
LG 139 cms (55 inches) Objet Collection LX1 Posé Series 4K Ultra HD Smart OLEDevo TV 55LX1QPSA (Beige),"INR 1,49,990",LG,55,OLED
Samsung 138 cm (55 inches) 4K Ultra HD Smart Neo QLED TV QA55QN90CAKLXL (Carbon Silver),"INR 1,29,990",SAMSUNG,55,QLED
Samsung 138 cm (55 inches) Wondertainment Series 4K Ultra HD LED Smart TV UA55TUE60FKLXL (Titan Gray),"INR 64,292",SAMSUNG,55,LED
Samsung 138 cm (55 inches) 4K Ultra HD Smart Neo QLED TV QA55QN85CAKLXL (Titan Black),"INR 1,10,990",SAMSUNG,55,QLED
"Kodak 139 Cm (55 Inches) Matrix Series 4K Ultra Hd Smart QLED Google Tv 55Mt5022, Black","INR 32,999",KODAK,55,QLED
Onida 138 cm (55 inches) 4K Ultra HD Smart IPS LED Fire TV 55UIF (Black),"INR 40,399",ONIDA,55,LED
TCL 138.7 cm (55 inches) 4K Ultra HD Smart Mini LED Google TV 55C835 (Black),"INR 79,990",TCL,55,LED
Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X74K (Black),"INR 52,490",SONY,55,LED
Samsung 139.7 cm (55 inches) 4K Ultra HD Smart LED TV UA55AU7500KLXL (Titan Gray) (2021 Model),"INR 52,490",SAMSUNG,55,LED
Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X74L (Black),"INR 57,990",SONY,55,LED
Xiaomi 138.8 cm (55 inches) 4K Ultra HD Smart Android OLED Vision TV O55M7-Z2IN (Black),"INR 74,999",XIAOMI,55,OLED
Acer 139 cm (55 inches) W Series 4K Ultra HD QLED Smart Android TV AR55AR2851QD (Metallic Grey),"INR 49,999",ACER,55,QLED
Xiaomi 138 cm (55 inches) X Pro 4K Dolby Vision IQ Series Smart Google TV L55M8-5XIN (Black),"INR 47,999",XIAOMI,55,LED
Kodak 139 cm (55 inches) Bezel-Less Design Series 4K Ultra HD Smart Android LED TV 55UHDX7XPROBL (Black),"INR 27,999",KODAK,55,LED
